Instances,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day_of_week,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_RF
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
