Instances,sensitive_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day_of_week,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_RF
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,8,2,2,1,67,1,1,2,22,8,34,44,59,40,2,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,10,2,3,1,90,1,1,2,28,10,44,57,78,52,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,6,1,2,1,53,1,1,1,18,6,27,36,48,33,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,10,2,3,1,92,1,1,1,20,7,31,41,55,37,2,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,24,1,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,24,1,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,24,1,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,24,1,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,24,1,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,24,1,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,24,1,0
