Instances,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,feature_age,algo_MLPC
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,4,26,1,4,4,0,0,1,5,73,1,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,5,29,11,5,10,4,3,72,29,72,29,7,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,1,9,3,1,3,1,1,23,9,23,9,3,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,58,23,58,23,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,7,37,15,6,13,5,4,94,37,94,37,9,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,2,13,5,2,4,1,1,32,13,32,13,3,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,7,35,14,6,12,5,4,87,35,87,35,8,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,0,0,0,0,0,0,0,0,0,0,0,1,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,2,10,4,1,3,1,1,26,10,26,10,3,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
instance_0,5,25,10,4,8,3,3,63,25,63,25,6,0
