Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_RF
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0
