Instances,feature_age_range,feature_workclass,feature_age_workclass,feature_fnlwgt,feature_wgt_group,feature_wgtgroup_age,feature_education,feature_education_workclass,feature_marital_status,feature_age_marital_status,feature_occupation,feature_relationship,feature_race,feature_relationship_race,feature_race_capital_loss,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_RF
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,0,0,0,5,1,5,73,1,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,2,1,3,15,36,14,36,14,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,2,1,3,15,36,14,36,14,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,2,1,3,15,36,14,36,14,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,2,1,3,15,36,14,36,14,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,2,1,3,15,36,14,36,14,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,2,1,3,15,36,14,36,14,0
