Instances,feature_age_range,feature_workclass,feature_age_workclass,feature_fnlwgt,feature_wgt_group,feature_wgtgroup_age,feature_education,feature_education_workclass,feature_marital_status,feature_age_marital_status,feature_occupation,feature_occupation_race,feature_relationship,feature_race,feature_relationship_race,feature_race_capital_loss,feature_capital_gain,feature_age_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,feature_native_country_race,algo_RF
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,7,4,11,26,2,9,1,5,4,11,4,4,0,0,0,5,1,8,5,73,1,1,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,4,2,6,14,1,5,5,7,2,6,5,6,2,1,3,15,36,40,14,36,14,17,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,5,12,28,2,9,11,16,4,11,9,12,4,3,7,31,70,77,28,70,28,35,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,7,6,13,30,3,10,12,18,5,12,10,13,4,3,7,33,77,84,30,77,30,37,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,3,4,1,3,1,1,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,4,9,21,2,7,8,12,3,8,7,9,3,2,5,23,53,58,21,53,21,26,0
instance_0,5,3,8,19,1,6,7,10,3,8,6,8,2,2,4,21,49,54,19,49,19,23,0
instance_0,5,3,8,19,1,6,7,10,3,8,6,8,2,2,4,21,49,54,19,49,19,23,0
instance_0,5,3,8,19,1,6,7,10,3,8,6,8,2,2,4,21,49,54,19,49,19,23,0
instance_0,5,3,8,19,1,6,7,10,3,8,6,8,2,2,4,21,49,54,19,49,19,23,0
