Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_RF,algo_MLPC
instance_0,7,4,26,1,4,4,0,0,1,5,73,1,0,0
instance_0,4,2,14,5,2,5,2,1,36,14,36,14,0,0
instance_0,7,5,28,11,4,9,4,3,70,28,70,28,0,0
instance_0,7,6,30,12,5,10,4,3,77,30,77,30,0,0
instance_0,1,0,1,0,0,0,0,0,3,1,3,1,0,0
instance_0,5,4,21,8,3,7,3,2,53,21,53,21,0,0
instance_0,5,3,19,7,3,6,2,2,49,19,49,19,0,0
instance_0,3,2,11,4,2,4,1,1,29,11,29,11,0,0
instance_0,8,6,34,13,6,12,5,4,86,34,86,34,0,0
instance_0,9,7,38,15,6,13,5,4,95,38,95,38,0,0
instance_0,2,1,8,3,1,2,1,1,20,8,20,8,0,0
instance_0,2,1,7,2,1,2,1,0,18,7,18,7,1,0
instance_0,2,1,7,2,1,2,1,0,18,7,18,7,0,0
instance_0,6,5,25,10,4,8,3,3,63,25,63,25,0,0
instance_0,4,3,15,6,2,5,2,1,37,15,37,15,0,0
instance_0,9,7,37,15,6,13,5,4,94,37,94,37,0,0
instance_0,6,5,26,10,4,9,3,3,65,26,65,26,0,0
instance_0,7,5,28,11,4,9,4,3,71,28,71,28,0,0
instance_0,6,4,23,9,4,8,3,2,59,23,59,23,0,0
instance_0,9,7,39,15,6,13,5,4,99,39,99,39,0,0
instance_0,2,0,4,1,0,1,0,0,11,4,11,4,0,0
instance_0,4,3,16,6,2,5,2,2,40,16,40,16,0,0
instance_0,4,3,15,6,2,5,2,1,39,15,39,15,0,0
instance_0,1,0,0,0,0,0,0,0,2,0,2,0,0,0
instance_0,8,6,31,12,5,10,4,3,78,31,78,31,0,0
instance_0,3,2,10,4,1,3,1,1,26,10,26,10,0,0
instance_0,1,0,1,0,0,0,0,0,4,1,4,1,0,0
instance_0,1,0,2,1,0,0,0,0,6,2,6,2,0,0
instance_0,9,7,37,14,6,13,5,4,92,37,92,37,0,0
instance_0,3,2,12,5,2,4,1,1,32,12,32,12,0,0
instance_0,1,0,3,1,0,1,0,0,8,3,8,3,0,0
instance_0,6,4,24,9,4,8,3,3,60,24,60,24,0,0
instance_0,5,3,18,7,3,6,2,2,47,18,47,18,0,0
instance_0,5,4,22,8,3,7,3,2,55,22,55,22,0,1
instance_0,5,4,22,8,3,7,3,2,55,22,55,22,0,0
instance_0,4,3,16,6,2,5,2,2,42,16,42,16,0,0
instance_0,8,6,33,13,5,11,5,4,83,33,83,33,0,0
instance_0,6,5,26,10,4,9,3,3,66,26,66,26,0,0
instance_0,1,0,2,0,0,0,0,0,5,2,5,2,0,0
instance_0,3,2,11,4,1,3,1,1,28,11,28,11,0,0
instance_0,6,5,25,10,4,9,3,3,64,25,64,25,0,0
instance_0,5,3,18,7,3,6,2,2,46,18,46,18,0,0
instance_0,7,5,26,10,4,9,4,3,67,26,67,26,0,0
instance_0,8,6,31,12,5,10,4,3,77,31,77,31,0,0
instance_0,5,3,18,7,3,6,2,2,45,18,45,18,0,0
instance_0,8,6,33,13,5,11,5,4,84,33,84,33,0,0
instance_0,8,6,32,12,5,11,4,4,80,32,80,32,0,0
instance_0,9,7,35,14,6,12,5,4,89,35,89,35,0,0
instance_0,7,5,29,11,5,10,4,3,74,29,74,29,0,0
instance_0,4,3,17,7,3,6,2,2,44,17,44,17,0,0
instance_0,4,3,17,6,3,6,2,2,43,17,43,17,0,0
instance_0,7,5,28,11,5,10,4,3,72,28,72,28,0,0
instance_0,2,1,8,3,1,3,1,1,22,8,22,8,0,0
instance_0,2,1,8,3,1,3,1,1,21,8,21,8,0,0
instance_0,2,1,5,2,0,1,0,0,12,5,12,5,0,0
instance_0,2,1,5,2,0,1,0,0,13,5,13,5,0,0
instance_0,3,1,9,3,1,3,1,1,23,9,23,9,0,0
instance_0,5,4,21,8,3,7,3,2,52,21,52,21,0,0
instance_0,4,2,13,5,2,4,2,1,34,13,34,13,0,0
instance_0,3,1,9,3,1,3,1,1,24,9,24,9,0,0
instance_0,9,7,39,15,6,13,5,4,97,39,97,39,0,0
instance_0,4,3,16,6,2,5,2,2,41,16,41,16,0,0
instance_0,3,2,12,5,2,4,1,1,31,12,31,12,0,0
instance_0,9,7,38,15,6,13,5,4,97,38,97,38,0,0
instance_0,9,7,36,14,6,12,5,4,90,36,90,36,0,0
instance_0,5,4,20,8,3,7,3,2,50,20,50,20,0,0
instance_0,3,2,10,4,1,3,1,1,25,10,25,10,0,0
instance_0,7,6,30,12,5,10,4,3,75,30,75,30,0,0
instance_0,7,5,29,11,5,10,4,3,73,29,73,29,0,0
instance_0,7,5,27,11,4,9,4,3,69,27,69,27,0,0
instance_0,8,6,32,13,5,11,4,4,81,32,81,32,0,0
instance_0,7,5,27,10,4,9,4,3,68,27,68,27,0,0
instance_0,7,5,26,10,4,9,4,3,66,26,66,26,0,0
instance_0,9,7,37,14,6,12,5,4,92,37,92,37,0,0
