Instances,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_MLPC
instance_0,0.545454545,0,0,0,0.809090909,0,0,0,0.333333333,0.727272727,0.387755102,0.655737705,0.08045977,0.965517241,0.666666667,0
instance_0,0.272727273,0.5,0.666666667,0,0.736363636,0,0,0,0.766666667,0.090909091,0.816326531,0.704918033,0.034482759,0.155172414,0.666666667,0
instance_0,0.181818182,0,0,0,0.472727273,0,0,0,0.6,0.363636364,0,0.131147541,0.344827586,0.844827586,0,0
instance_0,0.909090909,0.5,0.333333333,0,0.509090909,0,0,0,0.733333333,0.090909091,0.632653061,0.62295082,0.724137931,0.448275862,0.666666667,0
instance_0,0.909090909,0.5,0.666666667,0,0.554545455,0,0,0,0.8,0.454545455,0.510204082,0.37704918,0.264367816,0.465517241,0.666666667,0
instance_0,0.090909091,0,0.666666667,0,0.709090909,0,0,0,0.733333333,0.545454545,0.102040816,0.508196721,0,0.327586207,0.666666667,0
instance_0,0.363636364,0,0.333333333,0,0.863636364,0,0,0.5,0.833333333,0.818181818,0.081632653,0.245901639,0.632183908,0,0.666666667,0
instance_0,0.636363636,0,0.333333333,0,0.036363636,0,0,0,0.2,0.454545455,0,0.278688525,0.459770115,0.534482759,0,0
instance_0,0.818181818,0.5,0.333333333,0,0.427272727,0,0,0.5,0,0.181818182,0.551020408,0.93442623,0.770114943,0.120689655,0.666666667,0
instance_0,0.727272727,0,0.333333333,0,0.281818182,0,0,0,0.033333333,0.727272727,0.734693878,0.590163934,0.333333333,0.034482759,0,0
instance_0,0.454545455,0.5,0,0,0.490909091,0,0,0,0.5,0.181818182,0.510204082,0.245901639,0.413793103,0.862068966,0.666666667,0
instance_0,0.363636364,0,0.333333333,0,0.263636364,0,0,0,0.366666667,0.181818182,0,0.62295082,0.793103448,0.293103448,0,0
instance_0,0.636363636,0.5,0.333333333,0,0.445454545,0,0,0.5,0.133333333,0.454545455,0,0.868852459,0.275862069,0.689655172,0.333333333,0
instance_0,0.727272727,0,0,0,0.481818182,0,0,0,0.466666667,0.636363636,0.918367347,0.901639344,0.275862069,0.844827586,0.666666667,0
instance_0,0.636363636,0,0.666666667,0,0.972727273,0,0,0.5,0.766666667,0.272727273,0,0.672131148,0.563218391,0.448275862,0,0
instance_0,0.818181818,0.5,0.333333333,0,1,0,0,0,0.933333333,0.727272727,0.244897959,0.573770492,0.459770115,0.568965517,0,0
instance_0,0.090909091,0.5,0,0,0.536363636,0,0,0,0.8,0.727272727,0.510204082,0.770491803,0.287356322,0.120689655,0.333333333,0
instance_0,0,0.5,0,0,0.372727273,0,0,0.5,0.333333333,0.636363636,0.06122449,0.213114754,0.873563218,0.603448276,0.333333333,0
instance_0,0.181818182,0.5,0.666666667,0,0.609090909,0,0,0,0.066666667,0.454545455,0.591836735,0.31147541,0.229885057,0.086206897,0.666666667,0
instance_0,0.090909091,0.5,0.666666667,0,0.372727273,0,0,0.5,0.733333333,0.181818182,0,0.344262295,0.816091954,0.172413793,0,0
instance_0,0.727272727,0,0.333333333,0,0.309090909,0,0,0.5,0.866666667,0.272727273,0.632653061,0.049180328,0.137931034,0.103448276,0.333333333,0
instance_0,0.272727273,0.5,0.666666667,0,0.336363636,0,0,0,0.166666667,0.636363636,0.428571429,0.393442623,0.609195402,0.620689655,0.666666667,0
instance_0,0.727272727,0.5,0.333333333,0,0.290909091,0,0,0,0.966666667,0.363636364,0.306122449,0.032786885,0.034482759,0.379310345,0,0
instance_0,0.181818182,0.5,0,0,0.354545455,0,0,0.5,0.166666667,0.727272727,0,0.081967213,0.83908046,0.086206897,0.333333333,0
instance_0,0,0,0.666666667,0,0.627272727,0,0,0,0.033333333,0,0,0.393442623,0.275862069,0.24137931,0,0
instance_0,0.181818182,0,0,0,0.345454545,0,0,0.5,0.233333333,0.272727273,0,0.540983607,0.701149425,0.517241379,0.333333333,0
instance_0,0.272727273,0,0.666666667,0,0.909090909,0,0,0,0.333333333,0.727272727,0,0.967213115,0.034482759,0.051724138,0.666666667,0
instance_0,0.727272727,0.5,0,0,0.118181818,0,0,0.5,0.9,0.545454545,0,0.114754098,0.655172414,0.982758621,0.333333333,0
instance_0,0.818181818,0,0,0,0.227272727,0,0,0,0.533333333,0.272727273,0,0.540983607,0.356321839,0.74137931,0.333333333,0
instance_0,0.181818182,0,0.666666667,0,0.2,0,0,0.5,0.133333333,0.090909091,0,0.655737705,0.862068966,0.5,0.666666667,0
instance_0,0.727272727,0,0,0,0,0,0,0.5,0.333333333,0.454545455,0,0.475409836,0.011494253,0.396551724,0.666666667,0
instance_0,0.818181818,0,0.666666667,0,0.845454545,0,0,0.5,0.133333333,0.727272727,0.326530612,0.868852459,0.459770115,0.379310345,0.666666667,0
instance_0,0.363636364,0,0.333333333,0,0.836363636,0,0,0,0.3,0,0,0.983606557,0.137931034,0.879310345,0,0
instance_0,0.090909091,0.5,0.333333333,0,0.181818182,0,0,0,0.833333333,0.090909091,0,0.868852459,0.413793103,0.931034483,0,0
instance_0,0.636363636,0.5,0,0,0.236363636,0,0,0.5,0.033333333,0.363636364,0,0.491803279,0.931034483,0.724137931,0.333333333,0
instance_0,0.272727273,0,0.666666667,0,0.954545455,0,0,0,0.166666667,0.454545455,0.469387755,0.475409836,0.264367816,0.189655172,0.666666667,0
instance_0,0.727272727,0.5,0,0,0.227272727,0,0,0,0.766666667,0.909090909,0,0.590163934,0.264367816,0.24137931,0.333333333,0
instance_0,0.090909091,0.5,0,0,0.481818182,0,0,0.5,0.433333333,0.545454545,0.142857143,0.68852459,0.770114943,0.931034483,0.333333333,0
instance_0,0.090909091,0.5,0.666666667,0,0.954545455,0,0,0,0.6,0.727272727,0.632653061,0,0.551724138,0.172413793,0,0
instance_0,0,0.5,0.333333333,0,0.290909091,0,0,0,0.3,0,0.775510204,0.819672131,0.344827586,0.568965517,0.333333333,0
instance_0,0.727272727,0.5,0.666666667,0,0.618181818,0,0,0,0.966666667,0.636363636,0,0.557377049,0.275862069,0.103448276,0.666666667,0
instance_0,0.454545455,0,0,0,0.481818182,0,0,0,0.1,0.363636364,0.142857143,0.114754098,0.712643678,0.120689655,0,0
instance_0,0.909090909,0.5,0,0,0.527272727,0,0,0.5,0.366666667,0.727272727,0.612244898,0.540983607,0.356321839,0.74137931,0.666666667,0
instance_0,0.181818182,0,0,0,0.390909091,0,0,0.5,0.333333333,0.636363636,0.285714286,0.704918033,0.218390805,0.655172414,0.333333333,0
instance_0,0.909090909,0,0.666666667,0,0.881818182,0,0,0,0.966666667,0.454545455,0.020408163,0,0.034482759,0.637931034,0.666666667,0
instance_0,0.636363636,0.5,0,0,0.745454545,0,0,0.5,0.766666667,0.545454545,0.714285714,0.37704918,0.436781609,0.086206897,0.333333333,0
instance_0,0.818181818,0,0.666666667,0,0.218181818,0,0,0.5,0.433333333,0.636363636,0.12244898,0.508196721,0.540229885,0.965517241,0.333333333,0
