Instances,feature_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_MLPC
instance_0,0,3,1,1,0,86,0,0,1,18,9,1,22,82,3,2,0
instance_0,0,6,1,1,0,-5,0,0,0,22,7,1,26,23,45,0,0
instance_0,0,2,1,1,0,87,0,0,1,8,2,2,59,55,8,2,0
instance_0,0,4,0,2,0,43,0,0,1,21,6,38,8,25,25,0,0
instance_0,0,4,0,1,0,35,0,0,0,16,4,30,47,61,40,1,0
instance_0,0,2,1,0,0,65,0,0,1,5,8,11,3,5,16,2,0
instance_0,0,8,0,0,0,44,0,0,1,3,7,47,17,75,13,2,0
instance_0,0,7,1,1,0,25,0,0,0,27,8,1,52,38,22,0,0
instance_0,0,8,0,2,0,36,0,0,1,11,1,1,55,10,4,0,0
instance_0,0,7,0,1,0,-4,0,0,0,6,4,46,52,27,49,2,0
instance_0,0,8,0,0,0,47,0,0,1,21,1,16,56,65,1,0,0
instance_0,0,5,0,2,0,93,0,0,1,8,7,1,20,7,55,0,0
instance_0,0,6,0,2,0,44,0,0,1,26,4,15,11,25,36,2,0
instance_0,0,8,0,2,0,52,0,0,1,26,10,1,51,49,23,1,0
instance_0,0,7,1,1,0,-6,0,0,1,3,5,1,21,84,28,0,0
instance_0,0,4,1,2,0,53,0,0,0,7,3,1,6,38,4,1,0
instance_0,0,9,1,1,0,88,0,0,0,26,6,47,5,82,41,2,0
instance_0,0,3,1,1,0,44,0,0,1,30,6,4,54,57,52,2,0
instance_0,0,0,0,1,0,4,0,0,1,20,7,1,17,24,10,1,0
instance_0,0,4,0,2,0,95,0,0,1,22,1,3,2,20,22,2,0
instance_0,0,2,0,0,0,54,0,0,1,24,3,16,12,76,7,0,0
instance_0,0,7,0,2,0,59,0,0,1,5,3,1,58,2,52,1,0
instance_0,0,9,1,0,0,-2,0,0,0,21,9,36,44,58,8,2,0
instance_0,0,9,0,2,0,78,0,0,1,13,8,33,41,59,39,2,0
instance_0,0,2,0,1,0,76,0,0,0,10,7,41,1,33,40,1,0
