Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_MLPC
instance_0,6,1,27,7,4,12,4,2,0,54,3,56,23,0
instance_0,8,2,31,13,3,2,1,2,0,52,22,12,30,0
instance_0,1,0,20,8,1,1,1,0,0,7,18,47,17,0
instance_0,2,2,28,12,2,7,1,2,0,7,11,0,31,0
instance_0,2,3,9,12,1,5,1,0,0,7,33,89,14,0
instance_0,6,1,23,4,4,2,1,2,0,20,35,87,31,0
instance_0,8,6,26,2,0,4,3,1,0,7,25,84,1,0
instance_0,7,1,34,8,1,1,2,3,0,1,36,9,10,0
instance_0,4,2,19,3,2,5,0,2,0,20,20,32,17,0
instance_0,8,6,23,10,2,1,1,1,0,28,38,53,15,0
instance_0,4,0,34,11,5,6,1,0,0,7,14,83,0,0
instance_0,2,6,10,10,5,5,2,0,0,7,32,56,29,0
instance_0,1,3,27,10,2,4,2,0,0,7,20,84,18,0
instance_0,6,6,24,14,3,9,3,0,0,7,26,81,1,0
instance_0,8,4,37,12,2,5,2,3,0,60,32,60,27,0
instance_0,5,1,35,12,2,5,4,2,0,20,5,24,19,0
instance_0,4,1,30,6,5,0,4,1,0,48,10,83,0,0
instance_0,8,6,22,10,4,2,0,2,0,89,30,21,15,0
instance_0,6,3,29,12,4,3,3,0,0,95,20,72,17,0
instance_0,4,2,36,0,3,4,2,3,0,40,33,41,18,0
instance_0,4,2,20,11,4,1,2,2,0,75,14,0,2,0
instance_0,5,3,22,2,1,9,1,2,0,7,26,64,4,0
instance_0,6,6,33,11,5,8,0,3,0,7,16,64,8,0
instance_0,6,6,11,4,4,1,4,1,0,26,29,87,19,0
instance_0,6,4,10,7,3,0,1,1,0,7,3,17,0,0
instance_0,1,3,37,9,2,4,3,1,0,7,10,89,17,0
instance_0,7,1,33,6,5,2,1,3,0,56,25,8,25,0
instance_0,6,4,3,3,2,6,3,1,0,47,3,17,23,0
instance_0,4,0,12,14,1,0,2,2,0,40,5,14,12,0
instance_0,4,3,14,6,0,8,1,0,0,95,36,95,6,0
instance_0,8,3,34,13,2,4,1,1,0,74,28,44,38,0
instance_0,7,3,33,2,2,5,3,2,0,71,31,59,23,0
instance_0,2,6,0,14,5,2,0,0,0,7,0,41,31,0
instance_0,4,3,15,2,2,10,0,1,0,7,26,85,32,0
instance_0,8,6,17,12,2,6,3,3,0,7,24,67,35,0
instance_0,3,4,17,13,2,12,2,0,0,27,13,74,12,0
instance_0,8,2,27,4,4,1,4,2,0,13,1,34,23,0
instance_0,5,6,7,2,2,0,0,2,0,7,34,5,38,0
instance_0,5,0,38,9,0,0,3,0,0,84,21,72,32,0
instance_0,5,3,3,13,1,0,4,2,0,88,28,80,11,0
instance_0,1,4,29,2,3,3,4,0,0,7,34,79,4,0
instance_0,6,0,15,7,6,13,2,1,0,93,23,48,23,0
instance_0,7,6,26,8,5,0,4,3,0,52,18,15,30,0
instance_0,8,2,30,12,2,12,3,0,0,7,24,34,3,0
instance_0,4,5,15,0,1,5,4,0,0,30,24,95,28,0
instance_0,8,4,6,0,3,1,0,2,0,7,1,8,37,0
instance_0,6,0,25,14,1,6,2,0,0,7,11,87,9,0
instance_0,1,2,38,3,1,7,4,3,0,23,23,91,20,0
instance_0,3,4,27,13,4,8,3,0,0,95,32,65,6,0
instance_0,3,4,16,7,5,4,4,2,0,46,10,82,12,0
instance_0,8,1,17,1,4,1,2,3,0,19,21,16,4,0
instance_0,5,0,20,7,5,6,4,2,0,7,2,96,13,0
instance_0,2,5,34,13,1,7,4,0,0,7,18,42,12,0
instance_0,3,5,27,14,5,7,4,1,0,7,15,72,17,0
instance_0,7,3,29,13,5,2,2,1,0,59,10,50,30,0
instance_0,4,5,21,9,1,0,3,0,0,55,10,50,1,0
instance_0,8,4,13,7,1,4,4,1,0,7,34,69,22,0
instance_0,8,6,34,14,5,4,3,1,0,45,8,78,37,0
instance_0,4,0,29,12,4,7,3,2,0,85,18,59,24,0
instance_0,5,3,16,2,3,0,4,2,0,89,2,23,22,0
instance_0,5,0,30,3,1,4,3,3,0,32,20,44,12,0
instance_0,7,4,20,12,5,5,0,3,0,89,16,53,7,0
instance_0,4,0,14,7,1,3,0,1,0,24,14,29,14,0
instance_0,8,3,31,5,4,0,0,2,0,41,21,63,23,0
instance_0,5,6,11,7,2,4,3,0,0,7,26,40,37,0
instance_0,5,5,22,2,3,3,3,3,0,72,19,64,29,0
instance_0,8,0,34,12,5,0,0,1,0,49,22,31,22,0
instance_0,3,0,3,1,5,5,2,3,0,70,10,89,12,0
instance_0,4,5,29,13,5,7,2,2,0,24,4,35,38,0
instance_0,5,2,15,0,5,0,1,0,0,95,31,90,27,0
instance_0,4,1,22,0,5,11,2,0,0,7,2,45,17,0
instance_0,8,5,25,0,2,0,1,2,0,38,12,16,26,0
instance_0,5,6,32,6,5,9,1,2,0,7,6,64,27,0
instance_0,4,4,33,2,1,4,0,3,0,13,21,35,17,0
instance_0,7,3,20,11,5,2,3,3,0,13,21,63,1,0
instance_0,6,4,4,8,5,7,3,3,0,84,26,26,0,0
instance_0,7,6,31,0,5,12,2,1,0,7,14,46,36,0
instance_0,6,5,20,3,1,0,3,0,0,24,35,16,6,0
instance_0,5,1,23,5,5,1,4,3,0,97,6,62,33,0
instance_0,4,2,25,1,3,8,2,0,0,95,14,15,0,0
instance_0,5,0,16,9,1,1,3,3,0,85,26,64,23,0
instance_0,7,3,33,4,5,7,0,1,0,7,37,57,24,0
instance_0,6,2,17,3,1,2,1,1,0,45,24,75,34,0
instance_0,4,3,22,2,2,7,1,2,0,7,21,19,17,0
instance_0,3,4,16,5,1,9,3,3,0,7,5,64,4,0
instance_0,1,6,30,7,4,6,5,1,0,81,3,44,23,0
instance_0,6,6,18,8,5,5,0,1,0,89,28,45,13,0
instance_0,5,2,8,2,2,11,1,1,0,81,8,87,4,0
instance_0,3,6,34,4,2,7,3,1,0,7,30,86,11,0
instance_0,7,6,32,6,3,3,2,1,0,76,4,46,11,0
instance_0,8,1,20,9,4,9,0,3,0,7,30,65,17,0
instance_0,7,5,24,14,1,0,2,1,0,68,25,74,3,0
instance_0,4,4,29,8,1,2,0,2,0,38,24,86,11,0
instance_0,1,0,37,9,1,0,0,1,0,94,22,40,21,0
instance_0,7,1,18,2,1,3,2,3,0,89,10,59,17,0
instance_0,6,5,2,7,5,1,2,2,0,7,27,0,27,0
instance_0,5,0,25,7,4,9,3,2,0,7,24,1,28,0
instance_0,6,6,9,7,3,5,3,0,0,7,19,16,6,0
instance_0,3,1,23,11,2,1,4,2,0,53,7,3,22,0
instance_0,4,3,14,13,0,8,1,1,0,46,6,38,23,0
instance_0,3,5,16,5,1,7,3,3,0,7,28,31,30,0
instance_0,8,0,23,14,3,7,4,1,0,7,4,41,1,0
instance_0,7,2,11,6,1,1,3,0,0,7,32,25,22,0
instance_0,7,1,27,2,5,4,3,3,0,65,25,8,7,0
instance_0,4,0,21,3,0,5,2,1,0,7,12,39,22,0
instance_0,3,1,35,6,4,10,4,0,0,7,20,52,22,0
instance_0,1,5,21,11,1,8,1,1,0,7,8,78,30,0
instance_0,3,4,16,9,1,5,3,0,0,51,24,14,3,0
instance_0,5,5,33,5,5,8,4,0,0,7,7,50,6,0
instance_0,7,6,21,5,2,9,1,1,0,7,31,90,11,0
instance_0,5,0,37,14,2,12,3,3,0,7,19,0,20,0
instance_0,7,3,37,6,1,12,0,1,0,7,30,12,19,0
instance_0,1,4,24,5,1,5,3,1,0,7,5,29,4,0
instance_0,8,2,8,1,5,3,1,2,0,7,30,71,7,0
instance_0,8,6,37,11,1,7,4,1,0,61,9,75,19,0
instance_0,6,6,33,13,5,10,0,3,0,7,10,66,30,0
instance_0,6,3,36,1,4,1,2,1,0,78,37,97,35,0
instance_0,7,0,33,10,2,11,4,1,0,7,13,43,24,0
instance_0,7,4,26,6,5,2,4,0,0,8,28,36,15,0
instance_0,2,4,25,5,3,7,4,3,0,7,19,17,4,0
instance_0,8,2,34,11,5,3,4,0,0,3,3,5,26,0
instance_0,3,5,1,13,5,4,4,1,0,7,30,62,36,0
instance_0,3,5,9,4,0,8,4,1,0,93,9,88,5,0
instance_0,1,4,17,10,0,0,4,1,0,90,9,88,23,0
instance_0,7,1,33,9,5,0,2,2,0,93,25,11,7,0
instance_0,6,1,5,11,1,2,2,2,0,7,30,41,12,0
instance_0,4,0,22,0,0,4,0,2,0,7,2,74,38,0
instance_0,7,6,14,12,2,4,4,2,0,7,9,8,2,0
instance_0,5,1,26,2,3,3,3,1,0,95,8,11,19,0
instance_0,8,1,17,0,5,0,0,2,0,38,11,39,34,0
instance_0,6,3,31,5,0,1,2,0,0,7,34,5,23,0
instance_0,6,6,25,9,4,9,4,3,0,7,24,17,2,0
instance_0,8,0,25,7,3,3,3,3,0,0,38,40,29,0
instance_0,7,1,29,3,5,10,0,0,0,7,16,49,11,0
instance_0,6,6,30,9,2,4,4,2,0,76,9,74,30,0
instance_0,6,6,20,12,5,10,0,0,0,7,0,24,15,0
instance_0,3,0,36,10,1,6,1,0,0,93,33,49,17,0
instance_0,5,4,35,6,3,12,0,2,0,7,25,74,14,0
instance_0,8,4,24,9,4,5,3,0,0,70,37,51,9,0
instance_0,7,3,22,1,3,8,1,0,0,7,22,74,38,0
instance_0,4,5,18,6,1,11,4,0,0,2,12,60,29,0
instance_0,8,7,28,14,3,7,1,3,0,56,33,56,3,0
instance_0,7,6,25,0,4,2,2,2,0,9,22,55,37,0
instance_0,6,1,9,7,1,0,1,1,0,24,26,47,24,0
instance_0,2,3,31,2,5,7,3,2,0,7,24,16,12,0
instance_0,8,6,36,0,4,7,4,2,0,61,20,50,38,0
instance_0,7,0,13,10,5,5,2,2,0,7,36,88,11,0
instance_0,5,4,11,9,3,1,0,3,0,7,8,1,25,0
instance_0,6,0,38,7,5,12,4,1,0,7,6,86,14,0
instance_0,4,5,30,9,5,7,4,3,0,7,25,90,6,0
instance_0,6,5,28,9,1,6,1,1,0,7,25,46,18,0
instance_0,8,4,17,10,4,2,0,0,0,23,15,22,17,0
instance_0,8,0,20,3,5,3,4,0,0,33,31,11,21,0
instance_0,5,1,20,12,2,5,0,2,0,71,18,55,10,0
instance_0,4,5,28,13,1,10,1,0,0,85,35,10,28,0
instance_0,6,2,19,2,3,7,0,3,0,64,29,59,32,0
instance_0,5,2,4,7,2,10,3,0,0,60,7,80,0,0
instance_0,8,3,27,11,1,4,2,0,0,59,0,6,18,0
instance_0,6,5,6,8,1,4,0,2,0,7,2,47,6,0
instance_0,8,2,15,11,3,1,1,3,0,52,7,58,18,0
instance_0,2,0,16,4,3,11,0,1,0,7,14,57,4,0
instance_0,1,2,23,13,3,0,1,1,0,7,0,90,8,0
instance_0,6,4,26,2,3,3,3,2,0,76,34,22,22,0
instance_0,8,5,18,4,4,5,4,2,0,46,7,12,26,0
instance_0,4,0,21,11,4,4,3,3,0,68,5,67,6,0
instance_0,3,0,25,3,0,4,4,2,0,7,36,98,13,0
instance_0,2,3,19,9,1,11,1,2,0,7,8,57,12,0
instance_0,6,3,18,10,4,9,3,3,0,7,17,97,4,0
instance_0,2,6,22,3,0,4,2,0,0,7,9,4,30,0
instance_0,3,4,22,4,0,0,3,1,0,7,34,17,37,0
instance_0,5,6,12,4,4,1,4,0,0,7,17,97,20,0
instance_0,8,0,17,7,4,4,2,1,0,60,4,95,37,0
instance_0,2,1,22,14,0,1,0,1,0,7,26,30,29,0
