Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_MLPC
instance_0,4,2,28,5,3,8,0,0,0,46,33,16,31,0
instance_0,7,5,23,4,2,10,1,1,0,66,38,79,27,0
instance_0,7,2,7,5,1,11,3,0,0,85,30,0,33,0
instance_0,4,3,12,10,5,8,2,2,0,34,37,34,17,0
instance_0,1,1,20,8,4,4,4,2,0,54,31,65,18,0
instance_0,2,1,19,10,1,11,3,1,0,54,8,33,28,0
instance_0,7,1,11,14,3,10,1,1,0,51,24,9,5,0
instance_0,4,3,33,0,3,7,2,2,0,56,20,33,13,0
instance_0,8,6,10,14,5,3,2,0,0,11,21,11,34,0
instance_0,2,2,18,5,3,10,2,2,0,92,28,2,18,0
instance_0,3,6,24,13,5,12,0,0,0,57,25,5,29,0
instance_0,1,6,37,10,5,5,4,3,0,88,31,8,36,0
instance_0,2,4,24,8,1,5,1,1,0,56,10,52,36,0
instance_0,7,3,23,14,5,4,0,0,0,1,31,86,1,0
instance_0,1,3,34,6,3,4,1,2,0,11,30,2,29,0
instance_0,8,5,32,14,0,5,1,3,0,66,34,22,7,0
instance_0,2,4,1,8,4,9,1,0,0,54,9,25,16,0
instance_0,4,5,35,9,0,4,1,3,0,56,24,58,7,0
instance_0,1,2,1,11,0,8,1,2,0,52,26,32,8,0
instance_0,3,2,8,5,4,11,1,3,0,4,33,34,37,0
instance_0,8,0,18,11,4,8,2,3,0,55,33,7,31,0
instance_0,7,5,35,14,5,7,4,2,0,33,36,35,2,0
instance_0,3,1,19,10,4,9,2,3,0,29,11,9,1,0
instance_0,1,4,28,7,2,9,4,1,0,7,24,24,14,0
instance_0,5,0,17,5,2,12,0,0,0,94,20,31,1,0
instance_0,6,0,20,10,3,10,1,3,0,4,24,4,28,0
instance_0,6,1,13,0,1,9,4,1,0,83,32,6,29,0
