Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_RF
global,8,7,28,14,3,7,3,3,57,28,57,28,1
global,1,0,1,0,6,12,0,0,97,1,97,1,1
global,9,1,33,3,4,8,1,1,26,13,26,13,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,6,5,23,11,2,5,2,2,46,23,46,23,1
global,1,0,1,0,5,10,5,0,86,1,86,1,1
global,4,3,14,7,1,3,1,1,28,14,28,14,1
global,4,3,14,7,1,3,1,1,28,21,42,21,1
global,2,1,4,2,6,13,0,0,99,4,99,4,1
global,3,2,11,5,1,2,5,4,94,34,94,34,1
global,3,2,9,4,6,13,1,1,18,9,18,9,1
global,4,3,15,7,1,3,1,1,31,15,31,15,1
global,1,0,0,0,6,13,5,0,94,0,94,0,1
global,2,1,5,2,0,1,0,0,10,5,10,5,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,1,0,2,1,0,0,0,0,4,2,4,2,1
global,4,3,13,6,1,3,1,1,27,13,27,13,1
global,1,0,2,1,6,12,2,2,39,19,39,19,1
global,6,5,22,11,2,5,2,2,44,22,44,22,1
global,7,6,25,12,3,6,3,3,51,25,51,25,1
global,1,0,1,0,0,0,0,0,3,1,3,1,1
global,6,5,23,11,2,5,2,2,46,23,46,23,1
global,7,6,24,12,3,6,3,3,49,24,49,24,1
global,6,5,21,10,2,5,2,2,42,21,42,21,1
global,5,4,17,8,2,4,2,2,34,17,34,17,1
global,4,3,37,7,5,11,5,4,92,37,92,37,1
global,9,1,33,3,4,8,4,4,67,33,67,33,1
global,7,6,24,12,3,6,3,3,49,24,49,24,1
global,1,0,0,0,6,1,0,0,10,5,10,5,1
global,1,1,7,3,5,11,5,0,88,7,88,7,1
global,7,6,25,12,6,13,1,1,18,9,18,9,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,1,0,2,1,0,0,0,0,4,2,4,2,1
global,8,7,31,15,3,7,3,3,62,31,62,31,1
global,5,4,19,9,2,4,2,2,39,19,39,19,1
global,1,0,0,0,6,13,5,0,94,0,94,0,1
global,1,0,0,0,6,13,5,0,94,0,94,0,1
global,6,5,23,11,2,5,2,2,46,23,46,23,1
global,8,7,28,14,3,7,3,3,56,28,56,28,1
global,1,0,3,1,0,0,0,0,6,3,6,3,1
global,3,2,11,5,1,2,1,1,23,11,23,11,1
global,4,3,2,1,6,13,0,0,5,2,5,2,1
global,1,0,3,1,0,0,0,0,6,3,6,3,1
global,4,3,15,7,1,3,1,1,31,15,31,15,1
global,5,4,16,8,2,4,2,2,33,16,33,16,1
global,6,5,2,1,6,12,0,0,4,2,4,2,1
global,3,2,10,5,6,12,5,1,97,10,97,10,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,4,3,14,7,1,3,1,1,28,14,28,14,1
global,5,4,18,9,5,11,5,2,89,18,89,18,1
global,9,7,34,15,5,11,5,4,23,11,23,11,1
global,6,5,21,10,2,5,2,2,42,21,42,21,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,5,4,17,8,2,4,2,2,34,17,34,17,1
global,6,5,23,11,2,5,2,2,46,23,46,23,1
global,8,7,30,15,3,7,3,3,60,30,60,30,1
global,5,4,17,8,6,12,2,2,34,17,34,17,1
global,1,0,2,1,6,13,0,0,5,2,5,2,1
global,4,3,15,7,5,10,5,1,84,15,84,15,1
global,6,5,23,11,2,5,2,2,46,23,46,23,1
global,1,0,3,1,0,0,0,0,6,3,6,3,1
global,1,0,2,1,0,0,0,0,4,2,4,2,1
global,1,0,1,0,6,12,0,0,3,1,3,1,1
global,2,1,6,3,0,1,0,0,12,6,12,6,1
global,2,1,7,3,0,1,0,0,62,31,62,31,1
global,7,6,24,12,3,6,3,3,48,24,48,24,1
global,5,4,19,9,2,4,2,2,39,19,39,19,1
global,4,3,15,7,1,3,1,1,30,15,30,15,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,3,2,9,4,6,12,5,1,97,9,97,9,1
global,3,2,10,5,1,2,1,1,20,10,20,10,1
global,2,1,6,3,0,1,0,0,12,6,12,6,1
global,3,2,8,4,1,2,1,1,17,8,17,8,1
global,5,4,19,9,2,4,2,2,39,19,39,19,1
global,5,4,17,8,2,4,2,2,34,17,34,31,1
global,1,0,0,0,0,0,0,0,0,0,0,0,1
