Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_RF
global,4,3,12,6,1,3,1,1,27,13,27,13,1
global,7,6,26,13,3,6,3,3,53,26,53,26,1
global,4,3,14,7,6,13,1,1,29,14,29,14,1
global,3,2,8,4,1,2,1,1,16,8,16,8,1
global,4,3,12,6,5,10,5,1,82,12,82,33,1
global,2,1,7,3,0,1,0,0,15,7,15,7,1
global,3,2,8,4,1,2,1,1,16,8,16,8,1
global,4,3,38,6,5,10,5,4,84,38,84,38,1
global,1,0,1,0,5,11,5,0,89,1,89,1,1
global,4,3,12,6,1,3,1,1,25,12,25,12,1
global,6,5,21,10,2,5,2,2,42,21,42,21,1
global,6,5,21,10,2,5,2,2,42,21,42,21,1
global,5,4,19,9,2,4,2,2,38,19,38,19,1
global,7,6,25,12,3,6,3,3,50,25,50,25,1
global,6,5,20,10,2,5,2,2,41,20,41,20,1
global,6,5,23,11,2,5,2,2,47,23,47,23,1
global,3,2,10,5,1,2,1,1,21,10,21,10,1
global,2,1,4,2,0,1,0,0,9,4,9,4,1
global,4,3,14,7,1,3,1,1,0,0,0,0,1
global,4,3,13,6,1,3,1,1,27,13,27,13,1
global,2,1,5,2,0,1,0,0,11,5,11,5,1
global,5,4,17,8,5,10,5,2,83,17,83,17,1
global,1,0,1,0,0,0,0,0,3,1,79,39,1
global,6,5,20,10,6,12,5,2,14,7,14,7,1
global,8,7,28,14,5,11,1,1,31,15,31,15,1
global,3,2,10,5,1,2,1,1,21,10,21,10,1
global,2,1,5,2,0,1,0,0,10,5,10,5,1
global,6,5,23,11,2,5,2,2,47,23,47,23,1
global,1,0,3,1,5,12,1,1,16,8,16,8,1
global,6,5,23,11,2,5,2,2,47,23,47,23,1
global,2,1,7,3,0,1,0,0,15,7,15,7,1
global,8,7,29,7,6,13,1,1,29,14,29,14,1
global,3,2,10,5,1,2,1,1,20,10,20,10,1
global,5,4,16,8,5,11,5,2,91,16,91,16,1
global,4,3,15,7,1,3,1,1,30,15,30,15,1
global,9,3,33,6,5,10,5,4,87,33,87,33,1
global,4,3,12,6,5,10,5,1,82,12,82,12,1
global,3,2,8,4,1,2,1,1,16,8,16,8,1
global,4,3,14,7,1,3,1,1,28,14,28,14,1
global,3,2,10,5,1,2,1,1,20,10,20,10,1
global,5,4,17,8,1,3,1,1,28,14,28,14,1
global,6,5,20,10,2,5,2,2,41,20,41,20,1
global,4,3,13,6,6,13,1,1,27,13,27,13,1
global,4,3,13,6,5,11,5,1,89,13,89,13,1
global,2,1,6,3,0,1,0,0,13,6,13,6,1
global,1,0,1,0,5,11,5,0,94,1,94,1,1
global,2,1,5,2,0,1,0,0,10,5,10,5,1
global,5,4,16,8,2,4,2,2,32,16,32,16,1
global,5,4,19,9,2,4,2,2,38,19,38,19,1
global,4,3,14,7,1,3,1,1,28,14,28,14,1
global,6,5,20,10,2,5,2,2,40,20,40,20,1
global,2,1,7,3,5,11,5,0,88,7,88,7,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,4,3,13,6,6,13,5,1,80,13,80,13,1
global,7,6,26,13,3,6,3,3,53,26,53,26,1
global,3,2,11,5,5,10,5,1,86,11,86,11,1
global,4,3,13,6,6,13,1,1,27,13,27,13,1
global,3,2,8,4,5,11,5,1,89,8,7,3,1
global,3,2,11,5,6,13,1,1,22,11,22,11,1
global,3,2,37,5,5,11,0,0,97,0,97,0,1
global,4,3,15,7,1,3,1,1,30,15,30,15,1
global,6,5,21,10,2,5,2,2,43,21,43,21,1
global,4,3,13,6,1,3,1,1,26,13,26,13,1
global,7,6,25,12,3,6,3,3,50,25,50,25,1
global,3,2,8,4,6,12,1,1,16,8,16,8,1
global,8,7,29,14,3,7,3,3,59,29,59,29,1
global,5,4,16,8,2,4,2,2,32,16,32,16,1
global,3,2,9,4,1,2,1,1,18,9,18,9,1
global,4,3,12,6,1,3,1,1,24,12,24,12,1
global,6,5,20,10,2,5,2,2,40,20,40,20,1
global,1,0,0,0,0,0,0,0,1,0,1,0,1
global,4,3,12,6,1,3,1,1,24,12,24,12,1
global,9,0,32,1,4,8,4,4,64,32,64,32,1
global,6,5,23,11,2,5,2,2,47,23,47,23,1
