Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_Decision_tree_standard_unfair
instance_0,9,7,10,3,1,7,1,1,0,2,3,2,2,0
instance_0,2,0,4,1,0,1,0,1,0,25,10,25,10,0
instance_0,2,1,5,2,0,1,0,0,0,13,5,13,5,0
instance_0,8,3,9,14,2,1,5,4,0,0,3,11,3,0
instance_0,4,6,11,6,4,7,0,1,0,3,1,1,2,0
instance_0,6,0,10,12,1,4,3,0,0,3,7,12,5,0
instance_0,7,2,10,12,1,6,0,4,0,3,5,11,4,0
instance_0,6,7,18,3,2,7,1,4,0,1,6,9,12,0
instance_0,8,3,9,13,1,4,5,4,0,1,2,8,4,0
instance_0,8,3,9,14,2,2,2,4,0,2,3,12,4,0
instance_0,4,7,18,2,1,4,3,2,0,1,5,10,10,0
instance_0,7,0,10,14,0,3,5,3,0,4,6,9,5,0
instance_0,4,7,11,5,4,6,0,2,0,3,3,3,0,0
instance_0,8,4,9,15,2,2,5,4,0,0,3,11,2,0
instance_0,8,7,8,14,0,5,4,3,0,1,1,7,7,0
instance_0,9,7,8,14,0,3,3,3,0,1,2,6,7,0
instance_0,7,7,10,7,3,7,0,0,0,3,1,2,1,0
instance_0,7,6,30,12,5,10,4,3,0,77,30,69,27,0
instance_0,4,6,11,6,4,7,0,1,0,4,2,1,2,0
instance_0,3,6,9,5,3,2,1,2,0,3,3,3,2,0
instance_0,9,5,8,15,0,2,1,1,0,4,2,8,8,0
instance_0,7,6,30,11,5,10,4,3,0,73,29,73,29,0
instance_0,6,7,19,3,2,6,1,4,0,0,6,10,12,0
instance_0,8,3,13,5,1,7,0,4,0,0,6,0,5,0
instance_0,8,7,13,3,0,9,1,3,0,2,0,4,0,0
instance_0,8,6,10,4,1,10,1,3,0,0,1,1,0,0
instance_0,2,6,15,3,2,4,5,0,0,1,0,7,10,0
instance_0,9,7,16,4,0,5,0,2,0,0,7,4,12,0
instance_0,2,1,7,3,1,2,1,0,0,19,7,19,7,0
instance_0,6,0,10,14,0,3,5,4,0,4,6,11,6,0
instance_0,3,1,9,3,1,3,1,1,0,22,9,22,9,0
instance_0,8,7,11,4,2,7,1,1,0,1,1,2,2,0
instance_0,8,5,12,4,0,8,0,2,0,2,7,0,8,0
instance_0,1,4,13,6,4,4,5,1,0,1,3,5,10,0
instance_0,9,6,8,15,1,6,5,4,0,3,0,9,6,0
instance_0,9,5,11,4,2,6,0,1,0,3,7,2,9,0
instance_0,7,6,31,12,5,10,4,3,0,77,31,77,31,0
instance_0,4,2,14,5,2,5,2,1,0,35,14,35,14,0
instance_0,2,7,14,7,3,3,5,1,0,1,2,5,13,0
instance_0,6,4,22,8,3,7,4,4,0,81,32,81,32,0
instance_0,9,6,12,3,1,9,0,3,0,1,1,3,1,0
instance_0,8,6,8,14,0,4,5,4,0,2,1,9,8,0
instance_0,2,1,8,8,4,4,3,0,0,5,7,11,5,0
instance_0,9,6,11,4,0,6,0,1,0,3,7,1,9,0
instance_0,4,7,11,5,5,6,0,2,0,3,2,2,1,0
instance_0,4,4,10,6,4,7,0,1,0,3,1,0,3,0
instance_0,7,0,8,12,1,6,4,4,0,4,5,11,3,0
instance_0,2,1,5,2,0,1,0,0,0,14,5,14,5,0
instance_0,7,6,30,12,5,10,4,3,0,76,30,66,26,0
instance_0,8,4,9,13,2,2,5,4,0,1,2,10,2,0
instance_0,6,3,12,4,2,9,1,4,0,2,3,1,2,0
instance_0,7,0,10,13,0,3,5,2,0,5,6,11,6,0
instance_0,8,7,11,4,1,9,0,4,0,2,0,4,1,0
instance_0,8,6,34,13,6,12,5,4,0,85,34,85,34,0
instance_0,3,7,17,3,2,4,2,2,0,2,1,8,10,0
instance_0,8,2,10,13,0,6,0,4,0,3,5,11,3,0
instance_0,4,7,11,4,4,6,0,2,0,3,2,2,1,0
instance_0,8,3,8,14,2,2,3,4,0,2,4,12,4,0
instance_0,7,1,10,12,2,3,3,1,0,5,6,10,6,0
instance_0,9,4,12,5,0,7,0,2,0,2,7,0,8,0
