Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_Decision_tree_standard_unfair
instance_0,7,4,26,1,4,4,0,0,0,1,5,73,1,0
instance_0,1,0,2,1,0,0,0,0,0,7,2,7,2,0
instance_0,3,2,11,4,1,3,1,1,0,27,11,27,11,0
instance_0,7,5,26,10,2,5,2,2,0,41,16,41,16,0
instance_0,5,4,20,8,3,7,3,2,0,51,20,51,20,0
instance_0,4,2,13,5,2,4,2,1,0,33,13,33,13,0
instance_0,8,6,34,13,6,12,5,4,0,86,34,86,34,0
instance_0,6,4,22,9,4,8,3,2,0,57,22,57,22,0
instance_0,2,0,4,1,0,1,0,0,0,12,4,12,4,0
instance_0,7,5,27,11,4,9,4,3,0,69,27,69,27,0
instance_0,1,0,2,1,0,1,0,0,0,7,2,7,2,0
instance_0,9,7,36,14,6,12,5,4,0,91,36,91,36,0
instance_0,5,4,37,15,6,13,5,4,0,94,37,94,37,0
instance_0,9,7,36,14,6,12,5,4,0,90,36,90,36,0
instance_0,2,1,5,2,1,2,0,0,0,14,5,14,5,0
instance_0,6,4,22,9,3,7,3,2,0,56,22,56,22,0
instance_0,4,2,14,5,2,5,2,1,0,36,14,36,14,0
instance_0,8,6,31,12,5,11,4,3,0,79,31,79,31,0
instance_0,4,3,15,6,2,5,2,1,0,39,15,39,15,0
instance_0,8,7,35,14,6,12,5,4,0,88,35,88,35,0
instance_0,8,6,32,12,5,11,4,4,0,80,32,80,32,0
instance_0,5,3,18,7,3,6,2,2,0,47,18,47,18,0
instance_0,1,0,2,0,0,0,0,0,0,5,2,5,2,0
instance_0,2,1,6,2,6,13,5,4,0,94,37,94,37,0
instance_0,4,3,16,6,2,5,2,2,0,40,16,40,16,0
instance_0,5,4,20,8,3,7,3,2,0,50,20,50,20,0
instance_0,3,2,11,4,2,4,1,1,0,29,11,29,11,0
instance_0,5,3,19,7,3,6,2,2,0,49,19,49,19,0
instance_0,6,4,24,9,4,8,3,3,0,61,24,61,24,0
instance_0,7,5,28,11,4,9,4,3,0,70,28,70,28,0
instance_0,5,3,19,7,3,6,2,2,0,48,19,48,19,0
instance_0,5,3,18,7,3,6,2,2,0,45,18,45,18,0
instance_0,4,3,17,6,3,6,2,2,0,43,17,43,17,0
instance_0,9,7,39,15,6,13,5,3,0,61,24,61,24,0
instance_0,1,0,1,0,0,0,0,0,0,4,1,4,1,0
instance_0,3,2,12,5,2,4,1,1,0,31,12,31,12,0
instance_0,5,4,21,8,3,7,3,2,0,54,21,54,21,0
instance_0,8,7,35,14,6,12,5,4,0,87,35,87,35,0
instance_0,7,6,30,12,5,10,4,3,0,75,30,75,30,0
instance_0,2,1,7,2,1,2,1,0,0,18,7,18,7,0
instance_0,7,5,29,11,5,10,4,3,0,72,29,72,29,0
instance_0,4,3,17,6,2,5,2,2,0,42,17,42,17,0
instance_0,6,5,26,10,4,9,3,3,0,65,26,65,26,0
instance_0,1,0,2,1,0,0,0,0,0,6,2,6,2,0
instance_0,6,4,23,9,4,8,3,2,0,57,23,57,23,0
instance_0,6,5,26,10,4,9,3,3,0,66,26,66,26,0
instance_0,9,7,39,15,6,13,5,4,0,98,39,98,39,0
instance_0,6,5,25,10,4,8,3,3,0,63,25,63,25,0
instance_0,7,5,29,11,5,10,4,3,0,73,29,73,29,0
instance_0,3,2,11,4,2,4,1,1,0,28,11,28,11,0
instance_0,2,1,5,2,0,1,0,0,0,12,5,12,5,0
