Instances,feature_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_MLPC_bank
instance_0,0,5,1,2,0,23,0,1,2,20,5,35,39,45,30,2,0
instance_0,0,8,2,2,1,73,1,1,2,23,8,36,47,64,43,2,0
instance_0,0,2,0,0,0,10,0,0,0,6,2,8,12,14,10,0,0
instance_0,0,3,0,1,0,27,0,0,0,11,3,16,21,27,19,1,0
instance_0,0,6,1,2,1,49,1,1,1,17,6,25,33,45,30,2,0
instance_0,0,6,1,2,1,50,1,1,1,17,6,26,34,46,31,2,0
instance_0,0,6,1,2,1,49,1,1,1,17,6,26,34,45,31,2,0
instance_0,0,1,0,0,0,6,0,0,0,5,1,7,9,11,8,0,0
instance_0,0,10,2,3,1,85,1,1,2,27,10,42,24,32,21,1,0
instance_0,0,0,0,0,0,-5,0,0,0,2,0,2,3,2,2,0,0
instance_0,0,0,0,0,0,-4,0,0,0,2,0,2,3,2,2,0,0
instance_0,0,0,0,3,1,89,1,1,2,28,10,44,56,77,51,3,0
instance_0,0,5,1,1,0,43,0,0,1,15,5,23,30,40,27,1,0
instance_0,0,1,0,0,1,52,1,1,1,18,6,27,35,47,32,2,0
instance_0,0,10,2,3,1,89,1,1,2,28,10,43,56,77,51,3,0
instance_0,0,9,2,3,1,75,1,1,2,24,9,37,48,65,44,3,0
instance_0,0,0,0,0,0,-5,0,0,0,2,0,1,3,2,2,0,0
instance_0,0,0,0,0,0,-4,0,0,0,2,0,1,3,2,2,0,0
instance_0,0,0,0,0,0,-7,0,0,0,1,0,1,2,0,1,0,0
instance_0,0,0,0,0,0,-6,0,0,0,1,0,1,2,0,1,0,0
instance_0,0,2,0,0,0,9,0,0,0,6,2,8,11,13,9,0,0
instance_0,0,0,0,0,0,-2,0,0,0,3,0,3,5,5,4,0,0
instance_0,0,0,0,0,0,-1,0,0,0,3,0,3,5,5,4,0,0
instance_0,0,7,1,2,1,59,1,1,1,19,7,30,39,53,36,2,0
instance_0,0,4,1,1,0,34,0,0,1,12,4,19,25,33,22,1,0
instance_0,0,5,1,1,0,39,0,0,1,14,5,21,28,37,25,1,0
instance_0,0,0,0,0,0,-7,0,0,0,1,0,1,2,1,1,0,0
instance_0,0,0,0,0,0,-6,0,0,0,1,0,1,2,1,1,0,0
instance_0,0,11,2,3,1,101,1,1,2,31,11,49,63,86,58,3,0
instance_0,0,5,1,1,0,37,0,0,1,13,5,20,27,36,57,3,0
instance_0,0,5,1,1,0,38,0,0,1,14,5,20,27,36,24,1,0
instance_0,0,7,1,2,1,58,1,1,1,19,7,29,38,52,35,2,0
instance_0,0,7,1,2,1,61,1,1,1,20,7,31,40,55,37,2,0
instance_0,0,3,0,1,0,23,0,0,0,10,3,14,19,25,17,1,0
instance_0,0,1,0,0,0,3,0,0,0,4,1,5,8,8,6,0,0
instance_0,0,1,0,0,0,7,0,0,0,5,1,7,10,11,8,0,0
instance_0,0,8,2,2,1,65,1,1,2,21,8,33,43,58,39,2,0
instance_0,0,7,1,2,1,56,1,1,1,19,7,29,37,61,41,2,0
instance_0,0,1,0,0,0,2,0,0,0,4,1,5,7,8,6,0,0
instance_0,0,2,0,0,0,13,0,0,0,7,2,10,13,16,11,0,0
instance_0,0,1,0,0,0,8,0,0,0,5,1,7,10,12,8,0,0
instance_0,0,9,2,3,1,78,1,1,2,25,9,38,49,68,45,3,0
instance_0,0,4,1,1,0,36,0,0,1,13,4,20,26,35,23,1,0
instance_0,0,5,1,1,0,45,0,0,1,16,5,24,31,42,28,1,0
instance_0,0,5,1,1,0,40,0,0,1,14,5,22,28,38,26,1,0
instance_0,0,0,0,0,0,-8,0,0,0,1,0,0,1,0,0,0,0
instance_0,0,0,0,0,0,-7,0,0,0,1,0,0,1,0,0,0,0
instance_0,0,4,1,1,0,37,0,0,1,13,4,20,27,35,24,1,0
instance_0,0,10,2,3,1,86,1,1,2,27,10,42,54,74,50,3,0
instance_0,0,1,0,0,0,0,0,0,0,3,1,4,6,6,5,0,0
instance_0,0,8,2,2,1,72,1,1,2,23,8,36,46,63,42,2,0
