Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_MLPC_standard_unfair
instance_0,7,4,26,1,4,4,0,0,0,1,5,73,1,0
instance_0,4,2,14,5,2,5,2,1,0,36,14,36,14,0
instance_0,2,1,5,2,0,1,0,0,0,14,5,14,5,0
instance_0,9,7,39,15,6,13,5,4,0,98,39,98,39,0
instance_0,2,1,7,2,1,2,1,0,0,18,7,18,7,0
instance_0,9,7,36,14,6,12,5,4,0,91,36,91,36,0
instance_0,3,2,10,4,1,3,1,1,0,25,10,25,10,0
instance_0,9,7,36,14,6,12,5,4,0,90,36,90,36,0
instance_0,6,4,24,9,4,8,3,3,0,60,24,60,24,0
instance_0,8,6,32,13,5,11,4,4,0,81,32,81,32,0
instance_0,5,3,19,7,3,6,2,2,0,48,19,48,19,0
instance_0,5,3,19,7,3,6,2,2,0,49,19,49,19,0
instance_0,7,6,30,12,5,10,4,3,0,75,30,75,30,0
instance_0,3,1,9,3,1,3,1,1,0,24,9,24,9,0
instance_0,6,5,25,10,4,8,3,3,0,63,25,63,25,0
instance_0,4,2,13,5,2,4,2,1,0,34,13,34,13,0
instance_0,7,5,29,11,5,10,4,3,0,74,29,74,29,0
instance_0,2,1,8,3,1,3,1,1,0,21,8,21,8,0
instance_0,8,6,33,13,5,11,5,4,0,84,33,84,33,0
instance_0,5,4,20,8,3,7,3,2,0,51,20,51,20,0
instance_0,4,2,13,5,2,4,2,1,0,33,13,33,13,0
instance_0,2,1,8,3,1,2,1,1,0,20,8,20,8,0
instance_0,3,2,10,4,1,3,1,1,0,26,10,26,10,0
instance_0,7,5,27,11,4,9,4,3,0,69,27,69,27,0
instance_0,3,2,12,5,2,4,1,1,0,31,12,31,12,0
instance_0,6,5,26,10,4,9,3,3,0,65,26,65,26,0
instance_0,9,7,37,14,6,13,5,4,0,93,37,93,37,0
instance_0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
instance_0,2,0,4,1,0,1,0,0,0,11,4,11,4,0
instance_0,7,5,28,11,5,10,4,3,0,72,28,72,28,0
instance_0,1,0,4,1,0,1,2,1,0,33,13,33,13,0
