Instances,feature_age,feature_workclass,feature_fnlwgt,feature_education,feature_marital_status,feature_occupation,feature_relationship,feature_race,feature_sex,feature_capital_gain,feature_capital_loss,feature_hours_per_week,feature_native_country,algo_Random_Forest_standard_unfair
instance_0,6,0,39,12,5,9,0,2,0,43,16,59,15,0
instance_0,7,6,31,14,5,0,1,1,0,92,37,15,5,0
instance_0,9,0,7,14,3,5,4,3,0,85,37,80,28,0
instance_0,7,1,39,10,6,7,0,0,0,42,14,55,17,0
instance_0,2,1,0,1,5,10,4,2,0,84,30,84,34,0
instance_0,6,6,37,7,1,8,3,1,0,43,16,56,21,0
instance_0,2,1,1,1,4,10,4,1,0,84,30,84,33,0
instance_0,9,5,0,5,3,3,0,0,0,23,8,15,10,0
instance_0,9,4,2,0,4,1,5,0,0,2,1,0,1,0
instance_0,6,0,24,10,4,8,4,3,0,65,24,62,23,0
instance_0,4,0,9,3,6,2,4,2,0,16,13,27,12,0
instance_0,9,7,37,14,6,12,5,4,0,92,37,92,17,0
instance_0,1,1,4,0,3,1,4,3,0,23,10,19,6,0
instance_0,9,7,3,6,1,0,0,0,0,4,1,6,3,0
instance_0,9,3,11,0,0,0,2,0,0,5,3,8,0,0
instance_0,9,7,39,15,6,13,5,4,0,97,39,97,39,0
instance_0,5,0,8,4,6,5,3,0,0,18,13,26,14,0
instance_0,7,6,39,5,0,7,4,0,0,42,14,51,20,0
instance_0,8,3,11,0,4,0,2,1,0,5,3,8,0,0
instance_0,8,0,12,7,4,12,1,2,0,63,24,60,14,0
instance_0,6,4,9,6,2,2,4,0,0,5,4,6,3,0
instance_0,9,3,1,8,3,4,2,1,0,23,8,14,11,0
instance_0,6,0,39,12,5,9,1,0,0,43,15,58,15,0
instance_0,7,7,28,10,5,9,0,0,0,84,32,49,15,0
instance_0,1,1,6,2,0,3,1,0,0,16,6,16,6,0
instance_0,6,1,3,3,3,9,2,0,0,84,31,85,30,0
instance_0,2,1,4,7,6,5,2,4,0,80,33,85,39,0
instance_0,2,1,6,2,1,2,0,0,0,16,6,16,6,0
instance_0,1,0,3,1,0,1,0,0,0,9,3,9,3,0
instance_0,9,7,27,10,5,10,0,1,0,84,30,49,16,0
instance_0,8,1,2,5,0,1,1,1,0,84,28,78,29,0
instance_0,9,3,5,6,1,0,0,0,0,83,27,74,29,0
instance_0,8,3,1,5,6,2,0,0,0,4,1,5,1,0
instance_0,4,4,39,9,3,8,2,1,0,41,17,57,20,0
instance_0,1,0,1,1,2,6,5,3,0,65,26,64,25,0
instance_0,4,0,20,8,6,7,0,4,0,45,19,33,16,0
instance_0,3,1,1,5,1,9,3,2,0,83,33,83,36,0
instance_0,9,7,39,15,6,13,4,3,0,79,31,79,31,0
instance_0,9,5,37,15,1,3,3,4,0,93,38,18,6,0
instance_0,4,5,37,7,0,9,4,0,0,42,17,57,21,0
instance_0,7,0,15,8,5,13,3,0,0,62,24,60,15,0
instance_0,8,6,30,13,4,10,4,2,0,80,30,43,15,0
instance_0,3,1,3,7,4,4,5,0,0,79,35,83,39,0
instance_0,8,3,1,4,6,2,2,0,0,4,1,6,1,0
instance_0,2,2,8,2,1,1,2,3,0,13,2,21,3,0
instance_0,2,2,2,0,0,3,3,3,0,22,5,23,11,0
instance_0,8,3,32,11,3,0,2,1,0,89,38,16,6,0
instance_0,4,5,37,8,2,8,4,0,0,42,17,56,22,0
instance_0,1,4,5,4,3,0,1,2,0,25,4,23,9,0
instance_0,7,6,30,12,5,10,4,3,0,77,30,77,30,0
instance_0,7,1,3,1,2,0,3,0,0,2,1,0,0,0
instance_0,2,1,28,6,4,10,4,2,0,85,38,76,34,0
instance_0,8,7,39,7,3,6,2,4,0,44,15,48,18,0
instance_0,9,6,3,4,0,2,2,0,0,4,1,5,3,0
instance_0,9,1,20,9,4,12,2,2,0,64,25,61,16,0
instance_0,9,1,18,8,6,13,0,2,0,63,22,62,16,0
instance_0,8,6,8,2,0,4,5,0,0,6,6,7,2,0
instance_0,2,1,37,15,6,9,4,3,0,93,35,92,38,0
instance_0,9,1,3,0,4,0,2,3,0,1,1,0,0,0
instance_0,3,1,9,3,1,0,0,0,0,5,2,5,2,0
instance_0,1,2,8,2,1,1,3,3,0,13,2,21,3,0
instance_0,4,0,4,1,2,1,0,3,0,14,7,21,11,0
instance_0,7,1,39,10,6,7,0,0,0,42,14,56,17,0
instance_0,2,2,0,1,3,1,2,4,0,25,7,23,4,0
instance_0,2,3,7,1,2,0,0,2,0,18,4,20,1,0
instance_0,8,6,8,0,1,5,3,0,0,6,6,10,2,0
instance_0,4,6,29,9,6,9,1,2,0,85,32,49,13,0
instance_0,6,1,4,9,2,2,2,0,0,79,35,83,39,0
instance_0,9,0,23,9,4,11,4,3,0,62,25,61,19,0
instance_0,8,6,7,1,1,4,3,3,0,6,6,8,3,0
instance_0,4,2,3,1,3,2,1,4,0,16,6,22,12,0
instance_0,9,7,1,1,6,1,0,1,0,4,5,0,1,0
instance_0,8,6,7,1,0,4,4,0,0,6,6,7,3,0
instance_0,7,1,38,12,6,8,0,0,0,43,15,54,17,0
instance_0,1,1,2,1,1,3,2,1,0,22,5,22,10,0
instance_0,6,4,10,0,3,1,4,0,0,6,3,7,0,0
instance_0,4,6,27,9,6,12,1,0,0,84,31,46,15,0
instance_0,7,0,15,8,6,13,2,0,0,62,24,59,13,0
instance_0,3,1,3,7,4,3,5,0,0,79,35,82,39,0
instance_0,3,1,35,12,6,11,4,4,0,94,36,97,31,0
instance_0,3,1,2,9,3,3,4,0,0,79,35,83,38,0
instance_0,8,4,1,4,3,2,1,0,0,24,8,15,9,0
instance_0,1,4,5,4,3,0,1,3,0,25,4,23,9,0
instance_0,9,6,7,1,2,4,3,2,0,6,6,8,3,0
instance_0,1,2,3,1,1,11,5,4,0,85,34,85,34,0
instance_0,4,1,37,12,5,11,5,3,0,94,35,99,34,0
instance_0,2,0,30,6,6,7,1,2,0,85,38,78,35,0
instance_0,9,7,33,15,6,1,3,0,0,93,37,15,5,0
instance_0,9,6,33,15,6,3,1,1,0,93,37,15,5,0
instance_0,4,7,2,3,5,1,3,0,0,5,2,0,3,0
instance_0,8,6,30,12,6,10,4,2,0,80,30,43,15,0
instance_0,3,1,1,2,0,13,5,0,0,84,31,85,31,0
instance_0,9,4,1,6,1,5,2,1,0,23,9,16,10,0
instance_0,8,4,33,12,6,0,1,1,0,90,37,15,7,0
instance_0,8,0,2,0,0,0,0,0,0,5,2,5,2,0
instance_0,5,5,9,5,2,2,1,0,0,5,4,5,3,0
instance_0,9,0,7,11,6,5,2,3,0,86,37,79,27,0
instance_0,4,2,6,11,2,9,4,3,0,86,37,83,28,0
instance_0,4,6,33,15,5,4,4,3,0,96,36,19,7,0
instance_0,9,3,0,8,4,3,3,2,0,22,6,12,11,0
instance_0,8,1,7,13,2,5,2,4,0,86,37,83,27,0
instance_0,2,3,11,3,0,0,1,2,0,18,6,17,3,0
instance_0,2,0,31,6,4,9,0,1,0,85,35,78,36,0
instance_0,2,2,4,2,2,2,0,1,0,20,7,18,5,0
instance_0,9,6,32,14,6,0,1,1,0,91,37,15,5,0
instance_0,2,1,0,0,5,10,5,2,0,84,30,83,34,0
instance_0,8,5,37,15,0,4,3,2,0,93,38,18,6,0
instance_0,1,1,5,3,2,2,1,0,0,17,7,16,5,0
instance_0,6,0,15,8,6,12,1,0,0,62,24,59,14,0
instance_0,8,1,7,12,5,5,5,2,0,86,37,81,27,0
instance_0,5,0,8,3,6,3,4,2,0,16,10,25,12,0
instance_0,4,0,0,5,5,4,2,3,0,81,31,84,39,0
instance_0,9,6,4,6,0,1,2,0,0,4,1,6,3,0
instance_0,8,0,8,4,3,1,0,0,0,5,4,3,3,0
instance_0,8,3,6,1,4,0,0,3,0,16,8,30,11,0
instance_0,2,0,3,1,4,2,1,4,0,14,6,21,11,0
instance_0,5,5,0,2,2,0,3,1,0,4,4,1,5,0
instance_0,3,7,27,9,6,10,0,0,0,84,31,45,15,0
instance_0,3,0,38,10,6,9,1,1,0,43,15,58,15,0
instance_0,4,1,37,12,6,11,0,0,0,40,14,57,16,0
instance_0,1,1,2,1,1,2,1,1,0,22,6,22,10,0
instance_0,4,0,8,3,5,3,5,1,0,16,13,26,12,0
instance_0,7,0,15,12,2,6,1,2,0,46,22,34,21,0
instance_0,7,7,39,6,2,6,3,3,0,43,13,50,19,0
instance_0,7,7,37,7,3,7,2,3,0,45,18,47,18,0
instance_0,9,3,1,5,6,2,0,1,0,4,1,4,1,0
instance_0,8,0,0,5,4,3,3,3,0,68,26,73,28,0
instance_0,1,2,35,5,6,13,3,1,0,84,34,78,35,0
instance_0,9,3,3,6,6,2,2,3,0,22,6,20,12,0
instance_0,4,1,37,13,6,13,1,0,0,40,14,57,16,0
instance_0,3,1,6,14,2,10,2,1,0,86,37,82,29,0
instance_0,9,6,30,10,5,10,5,2,0,81,30,42,15,0
instance_0,1,0,8,1,1,0,0,0,0,19,7,18,6,0
instance_0,8,0,12,7,4,12,1,1,0,63,24,60,13,0
instance_0,1,0,7,3,1,2,1,0,0,19,7,19,7,0
instance_0,5,2,7,12,0,7,2,3,0,87,37,83,28,0
instance_0,4,1,37,13,6,13,1,0,0,40,13,58,16,0
instance_0,2,0,3,2,0,4,0,2,0,21,9,18,8,0
instance_0,7,1,38,10,6,6,2,0,0,41,15,55,17,0
instance_0,9,1,7,11,3,5,2,2,0,86,37,81,27,0
instance_0,4,6,29,9,5,9,3,2,0,85,32,49,13,0
instance_0,1,1,3,0,2,1,3,2,0,23,9,19,6,0
instance_0,4,2,13,5,2,5,2,2,0,40,16,40,16,0
instance_0,9,1,20,9,4,12,1,2,0,64,25,61,16,0
instance_0,7,1,3,1,2,1,3,1,0,2,1,0,0,0
instance_0,3,0,0,3,0,5,4,4,0,65,24,67,26,0
instance_0,8,0,4,5,1,3,2,1,0,84,29,85,32,0
instance_0,9,3,11,0,3,0,1,0,0,5,3,8,0,0
instance_0,6,5,25,10,4,9,3,3,0,64,25,64,25,0
instance_0,9,0,23,9,6,11,4,3,0,62,25,62,19,0
instance_0,2,4,1,4,6,1,4,2,0,25,10,20,4,0
instance_0,8,4,33,12,6,0,1,2,0,90,37,14,7,0
instance_0,7,1,39,11,6,8,0,0,0,43,15,55,17,0
instance_0,5,1,2,3,2,8,4,0,0,84,31,85,30,0
instance_0,4,2,9,1,0,0,2,1,0,16,2,22,3,0
instance_0,2,0,4,3,0,5,0,1,0,21,9,18,8,0
instance_0,7,0,39,11,5,9,1,0,0,43,15,58,15,0
instance_0,7,0,13,6,5,7,0,4,0,64,24,63,14,0
instance_0,7,7,39,6,2,6,3,4,0,43,14,50,18,0
instance_0,9,7,35,15,6,6,4,2,0,95,37,18,7,0
instance_0,2,3,38,8,5,12,3,1,0,84,34,78,37,0
instance_0,5,7,38,7,1,9,5,1,0,43,17,57,21,0
instance_0,7,2,3,1,2,1,3,0,0,2,1,0,0,0
instance_0,8,5,4,0,1,3,2,3,0,8,4,10,0,0
instance_0,9,1,0,6,5,5,0,3,0,68,26,72,28,0
instance_0,4,3,39,10,3,8,2,1,0,41,17,57,22,0
instance_0,3,1,0,5,1,5,4,4,0,65,22,67,26,0
instance_0,2,2,0,2,2,1,2,3,0,25,10,23,4,0
instance_0,8,6,34,15,4,2,1,0,0,94,37,16,5,0
instance_0,8,5,8,6,0,1,2,1,0,5,3,4,3,0
instance_0,8,0,2,5,1,1,3,2,0,84,28,80,28,0
instance_0,2,6,29,10,5,9,1,2,0,85,32,50,13,0
instance_0,6,4,24,9,4,8,3,3,0,61,24,18,7,0
instance_0,5,0,38,11,5,9,2,0,0,43,15,57,16,0
instance_0,8,6,33,13,5,11,4,4,0,82,33,82,33,0
instance_0,2,1,5,0,3,1,1,0,0,15,7,18,7,0
instance_0,9,4,5,4,2,0,0,3,0,84,26,72,28,0
instance_0,8,0,12,11,3,7,3,2,0,46,22,35,21,0
instance_0,1,1,27,6,5,10,4,4,0,83,37,76,33,0
instance_0,8,5,32,13,5,0,2,2,0,90,37,15,7,0
instance_0,8,6,34,15,4,2,0,0,0,94,37,16,5,0
instance_0,9,0,0,6,2,2,4,3,0,65,22,71,26,0
instance_0,2,2,6,0,3,3,1,3,0,18,5,17,2,0
instance_0,3,1,38,12,6,11,5,1,0,95,35,99,35,0
instance_0,5,0,39,11,5,9,2,0,0,43,15,57,17,0
instance_0,1,1,10,1,1,3,0,4,0,18,3,17,2,0
instance_0,8,4,2,0,1,1,4,1,0,4,1,1,1,0
instance_0,3,1,36,12,6,10,4,4,0,94,36,97,32,0
instance_0,9,5,2,4,3,2,1,1,0,5,1,4,1,0
instance_0,6,0,3,5,1,3,1,3,0,86,30,86,31,0
instance_0,7,6,8,2,0,4,5,0,0,6,6,7,2,0
instance_0,9,3,1,5,6,2,0,0,0,4,1,6,1,0
instance_0,9,5,2,5,4,2,0,1,0,5,1,4,1,0
instance_0,7,5,0,2,4,0,4,0,0,4,4,1,5,0
instance_0,2,0,4,1,3,2,2,3,0,13,6,21,11,0
instance_0,4,4,2,9,6,1,3,1,0,77,39,83,39,0
instance_0,4,0,27,6,4,10,5,3,0,84,38,76,35,0
instance_0,3,1,8,3,0,0,0,0,0,6,2,6,3,0
instance_0,8,0,8,4,3,0,1,0,0,5,4,4,3,0
instance_0,8,4,7,0,3,1,1,4,0,16,6,28,9,0
instance_0,5,3,4,1,3,3,2,3,0,22,6,20,11,0
instance_0,4,2,6,11,0,8,1,3,0,86,38,83,28,0
instance_0,6,0,0,5,1,3,4,4,0,65,21,71,26,0
instance_0,9,6,4,7,3,0,0,0,0,5,1,6,2,0
instance_0,1,0,1,2,1,5,4,2,0,64,26,64,26,0
instance_0,6,7,2,3,5,1,2,0,0,5,2,0,3,0
instance_0,8,0,23,9,6,10,5,4,0,62,24,62,19,0
instance_0,9,3,2,6,5,3,4,2,0,22,6,17,11,0
instance_0,3,2,2,6,2,1,1,1,0,78,38,82,39,0
instance_0,5,6,4,1,6,0,4,3,0,26,6,22,5,0
instance_0,3,3,27,6,4,9,2,3,0,82,38,73,33,0
instance_0,4,2,3,2,2,3,2,3,0,22,6,21,11,0
instance_0,9,6,36,15,0,4,1,1,0,93,38,18,5,0
instance_0,7,5,26,10,4,9,4,3,0,67,26,67,26,0
instance_0,1,0,3,2,2,10,4,4,0,85,34,84,34,0
instance_0,3,1,35,12,6,10,4,4,0,94,36,97,31,0
instance_0,8,0,3,5,0,3,0,4,0,86,30,87,31,0
instance_0,8,1,3,0,3,0,1,3,0,1,1,0,0,0
instance_0,8,4,1,6,2,5,2,1,0,23,9,16,11,0
instance_0,3,0,8,12,4,11,2,4,0,82,34,81,31,0
instance_0,8,1,15,12,2,6,2,2,0,46,22,34,21,0
instance_0,7,0,0,4,5,3,3,4,0,67,25,73,28,0
instance_0,6,0,16,8,6,13,2,0,0,62,24,59,13,0
instance_0,3,3,11,3,0,0,2,2,0,17,7,18,3,0
instance_0,8,4,1,5,5,2,0,1,0,4,1,4,1,0
instance_0,4,3,15,6,2,5,2,1,0,42,17,42,17,0
instance_0,7,0,4,5,1,3,2,3,0,85,29,85,32,0
instance_0,8,4,1,0,4,1,4,1,0,3,1,1,2,0
instance_0,5,4,10,0,4,0,3,1,0,6,3,7,0,0
instance_0,8,4,1,6,1,5,2,1,0,23,9,16,10,0
instance_0,7,0,15,8,5,13,3,1,0,62,24,60,15,0
instance_0,7,4,2,0,4,1,5,0,0,2,1,0,1,0
instance_0,3,3,9,1,1,0,3,1,0,16,2,20,2,0
instance_0,8,0,9,4,2,0,1,0,0,5,4,4,3,0
instance_0,8,1,39,10,6,6,1,0,0,41,15,55,17,0
instance_0,2,2,3,4,4,6,5,2,0,81,35,84,39,0
instance_0,4,4,2,4,6,0,4,3,0,25,9,21,4,0
instance_0,9,5,8,6,0,1,1,0,0,5,1,5,3,0
instance_0,7,6,29,10,3,8,1,1,0,85,32,49,14,0
instance_0,1,0,3,1,0,1,0,0,0,8,3,8,3,0
instance_0,8,4,3,1,0,2,3,1,0,4,1,0,1,0
instance_0,4,0,13,8,3,9,0,4,0,46,23,35,19,0
instance_0,1,0,7,0,3,2,4,2,0,22,10,19,6,0
instance_0,6,1,4,8,4,2,2,0,0,77,35,82,38,0
instance_0,4,2,6,2,1,0,1,3,0,15,3,20,1,0
instance_0,5,2,37,10,5,9,1,1,0,41,17,55,18,0
instance_0,7,5,37,15,1,3,4,3,0,93,38,18,6,0
instance_0,1,2,7,2,1,1,4,3,0,14,1,21,3,0
instance_0,1,2,12,3,1,0,1,1,0,16,8,16,3,0
instance_0,7,3,4,3,4,2,0,2,0,21,6,20,11,0
instance_0,3,1,11,2,0,1,2,1,0,5,3,6,1,0
instance_0,8,4,31,12,4,3,3,3,0,90,38,16,8,0
instance_0,8,6,33,15,4,2,0,1,0,94,37,16,5,0
instance_0,8,0,16,6,3,13,1,0,0,61,24,61,19,0
instance_0,7,2,3,1,2,1,3,1,0,2,1,0,0,0
instance_0,1,3,0,3,4,0,0,4,0,25,7,23,3,0
instance_0,4,1,38,13,6,12,0,0,0,40,14,57,16,0
instance_0,7,7,3,6,1,0,1,0,0,4,1,6,3,0
instance_0,2,2,7,0,2,3,1,4,0,19,4,18,2,0
instance_0,3,0,37,13,5,10,4,4,0,94,36,97,32,0
instance_0,9,5,3,4,0,2,3,0,0,4,1,5,3,0
instance_0,9,5,2,1,2,0,3,0,0,4,1,0,1,0
instance_0,8,5,6,6,3,1,0,1,0,5,1,6,3,0
instance_0,1,1,1,1,1,1,0,2,0,23,9,19,6,0
instance_0,8,3,32,11,3,0,2,0,0,89,38,16,6,0
instance_0,9,3,1,5,6,2,0,0,0,4,1,7,1,0
instance_0,1,4,4,5,6,0,5,4,0,24,8,22,4,0
instance_0,6,0,24,10,4,8,5,2,0,64,24,65,24,0
instance_0,8,3,1,4,5,2,2,0,0,4,1,6,1,0
instance_0,4,4,2,4,6,2,2,4,0,24,9,21,4,0
instance_0,7,4,2,1,2,2,5,1,0,2,1,0,1,0
instance_0,1,0,35,6,5,13,5,0,0,84,35,80,38,0
instance_0,1,2,7,0,1,3,1,4,0,17,5,18,1,0
instance_0,2,0,33,6,5,12,1,1,0,85,35,79,37,0
instance_0,2,0,4,1,2,3,1,3,0,13,6,22,9,0
instance_0,8,5,32,12,6,2,2,1,0,90,37,16,8,0
instance_0,7,1,38,12,6,8,0,0,0,43,15,53,16,0
instance_0,5,0,8,3,6,5,4,0,0,17,14,25,13,0
instance_0,5,2,35,13,0,11,1,2,0,80,34,90,37,0
instance_0,5,0,5,3,6,3,2,4,0,14,9,25,12,0
instance_0,2,3,8,0,2,1,0,3,0,17,4,19,2,0
instance_0,9,0,17,2,4,13,1,0,0,62,24,62,20,0
instance_0,2,2,2,0,0,3,3,4,0,22,2,23,11,0
instance_0,9,1,8,4,3,1,1,1,0,5,2,4,3,0
instance_0,4,3,5,0,6,3,4,2,0,15,8,27,11,0
instance_0,6,1,4,8,5,2,2,0,0,78,35,82,38,0
instance_0,1,0,1,0,1,11,5,4,0,84,32,84,33,0
instance_0,9,3,2,1,2,2,4,1,0,2,1,0,0,0
instance_0,2,3,7,0,2,1,0,3,0,17,3,20,2,0
instance_0,1,4,3,4,6,0,4,4,0,24,9,21,4,0
instance_0,3,0,1,3,0,5,5,1,0,65,25,67,26,0
instance_0,9,5,32,12,6,2,3,1,0,90,38,16,8,0
instance_0,1,3,3,4,6,0,4,4,0,24,9,21,4,0
instance_0,2,4,4,2,5,0,2,3,0,25,8,22,2,0
instance_0,7,3,9,6,0,2,1,0,0,5,4,6,4,0
instance_0,1,1,1,1,1,1,0,2,0,23,9,20,6,0
instance_0,4,3,15,6,2,5,2,0,0,12,4,12,4,0
instance_0,6,6,35,15,6,4,3,3,0,96,37,19,7,0
instance_0,4,0,0,4,2,5,4,4,0,65,21,68,27,0
instance_0,1,1,1,1,2,1,0,2,0,23,9,20,6,0
instance_0,9,7,27,10,4,9,4,3,0,68,27,68,27,0
instance_0,7,4,5,6,2,0,0,2,0,83,27,73,29,0
instance_0,1,1,3,1,1,2,1,1,0,22,6,22,11,0
instance_0,7,6,29,10,3,8,1,2,0,85,32,49,14,0
instance_0,2,1,5,2,0,1,0,0,0,12,27,68,27,0
instance_0,1,3,7,0,2,2,2,4,0,17,5,19,2,0
instance_0,2,6,4,3,6,0,4,0,0,4,2,0,4,0
instance_0,1,1,1,1,1,7,5,2,0,66,26,66,25,0
instance_0,3,2,12,4,2,10,4,3,0,76,30,76,30,0
instance_0,4,6,4,0,6,0,2,2,0,25,7,22,7,0
instance_0,1,0,3,3,1,3,0,1,0,21,8,18,8,0
