Instances,feature_age,feature_job,feature_marital,feature_education,feature_default,feature_balance,feature_housing,feature_loan,feature_contact,feature_day,feature_month,feature_duration,feature_campaign,feature_pdays,feature_previous,feature_poutcome,algo_RF_unfair
instance_0,0,0,0,1,0,31,0,0,0,16,8,1,30,65,23,2,0
instance_0,0,1,0,1,0,-3,0,0,1,1,5,13,29,13,47,2,0
instance_0,0,1,0,0,0,14,0,0,1,2,5,29,52,34,17,1,0
instance_0,0,9,0,0,0,56,0,0,1,12,8,41,34,63,29,1,0
instance_0,0,3,0,0,0,101,0,0,1,17,9,6,2,2,51,1,0
instance_0,0,0,0,2,0,75,0,0,1,8,4,33,11,50,33,1,0
instance_0,0,1,0,2,0,-3,0,0,0,12,7,26,20,57,30,2,0
instance_0,0,4,0,2,0,90,0,0,0,5,9,38,8,58,4,1,0
instance_0,0,2,0,2,0,19,0,0,0,16,10,13,34,43,9,0,0
instance_0,0,10,0,1,0,80,0,0,1,4,1,14,21,3,38,1,0
instance_0,0,5,1,0,0,43,0,0,0,30,10,45,6,48,45,1,0
instance_0,0,7,0,0,0,40,0,0,1,21,4,38,27,29,34,2,0
instance_0,0,10,0,2,0,72,0,0,0,12,0,6,45,68,0,0,0
instance_0,0,8,1,2,0,44,0,0,1,24,0,28,57,76,4,2,0
instance_0,0,2,1,1,0,7,0,0,1,6,7,30,39,2,14,2,0
instance_0,0,9,0,0,0,98,0,0,0,8,0,16,24,1,28,0,0
instance_0,0,1,1,2,0,46,0,0,0,21,4,28,13,75,30,2,0
instance_0,0,6,1,0,0,97,0,0,1,9,2,38,2,6,17,2,0
instance_0,0,4,1,0,0,64,0,0,1,13,1,20,24,20,42,1,0
instance_0,0,6,0,2,0,-2,0,0,1,24,3,45,4,35,21,2,0
instance_0,0,3,1,2,0,-6,0,0,0,12,6,20,47,32,5,0,0
instance_0,0,0,0,0,0,73,0,0,1,12,8,43,1,54,27,1,0
instance_0,0,2,1,2,0,64,0,0,0,21,5,3,49,66,32,2,0
